video_url,comentario,autor,likes,fecha,idioma
https://www.youtube.com/watch?v=abG78S3HRyM,¿quieres seguir cantando sin parar? escucha el playlist completo con todas las canciones aquí:,@CANTOYO,12,2 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,arriba jalisco el mencho y lako,@berthaguerrero1228,1,7 days ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,"el azul el jefe de jefes el cerebro de la mafia mexicana . el hombre de los nervios de azero y cabeza fría para negociar , creo la federación sin titularse jefe. dejo que a todos les ganara la envidia mientras el seguía trabajando en silencio . el señor era un mago desaparecio sin dejar hueya muchos dicen que murio a los 69 otros que se retiro limpio , elazul jefe de jefes",@Gtavideosgarcia,0,13 days ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,"para el viejo ese gi, el que se aprecia un chingo . el belico de israel.",@MiguelEnriquez-s1t,1,2 weeks ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,"arriba la plebada, nunca pasada de moda esta joyita",@danielarias4023,1,3 weeks ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,hannapuncel que miedo es su familia esa tipa es el mismísimo demonio,@MIRANDADOVALINA,0,4 weeks ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,está chévere la rola,@FelizGarcía-c4m1p,0,4 weeks ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,nunca voy olvidar ese sonido de la guitarra,@EduardoPerez-pw3yq,1,1 month ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,hannapuncel la jefa,@MIRANDADOVALINA,0,1 month ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,el mayor de las ranas,@miguelnavarroaureoles3391,0,1 month ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,el mayor de las ranas,@miguelnavarroaureoles3391,0,1 month ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,el rola 3sta pasado de verga vuen rola quien lo sige escuchando en 2026,@JoséLuisOlivares-y3g,0,1 month ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,que bien rolón,@ChayoArmenta-d1s,0,1 month ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,me alegra mucho esta cancion por que me acuerdo de mi brooo,@YeslitGonzalez,0,1 month ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,gracias estoy bien me da gusto,@angeliAvilez,0,1 month ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,el azul peso pluma y junior h,@FernandoPineda-b4h7l,1,1 month ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,¿esta rola es dedicada al mencho?,@cesaralboran5230,0,2 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,yo compre el que se parece al prx tiasot tiffany azul vwrde y el nautilus patek phillipe con caratula blanca pero en esta marca de poedagar. me dejaron impresionadisimo. compraré otros 2. el chronografo en gris y uno dorado pero no sé cuál todavia tienen muchos modelos incluyendo uno automatico con la complicaccion visible. has mas videos sobre estos relojes aver si te los mandan gratis. suerte,@WorldTimeNewsLive,0,2 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,quién en 2026??,@jonathanzavala3388,5,2 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,no sale para unos trajes,@joseanselmoespinoza1971,0,2 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,"2026 y aquí sigue la mata dando el azul , se oyó a qui en mexico y seguirá oyéndose puro junior h",@NancyPacheco-su7bv,2,2 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,melena de león pues vengo de uno,@RaulCuellar-df3ix,1,2 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,la mejor cancion de todos los tiempos!!!!!!!,@mr.marulo,4,2 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,"la parte de ""roll royce azul como aquellos botones"" está censurado en varias partes",@Moysitoxd,1,2 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,¿quieres seguir cantando sin parar? escucha el playlist completo con todas las canciones aquí:,@CANTOYO,12,2 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,en el titulo sale claramente que es dedicada para el azul.,@Rubs009,0,1 month ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,muy junitor,@MarioAlexisRodriguez-j7s,0,2 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,alguien en 2026?,@YazminDuarte-w7s,108,3 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,viva méxico es lo mejor aunque murió mi perrito,@MarianaArias-i7g,0,3 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,son tu fan peso y de junior h soludenme por fa,@Fer22Ferchis-r8x,1,3 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,el azul que desafio a la misma muerte,@Chamuska,0,3 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,está muy buena la rola,@IvanSandoval-t7t,0,3 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,"la ignorancia y estupidez replicada en los comentarios, y encima se felicitan",@Humano0980,0,3 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,en la sangre traigo el 701 me marco,@jaimefranciscoalcalde7272,0,3 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,como la ve,@MariooswaldoPadillarobles,1,3 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,alguien en 2025 q ya se va acabar el años 5:57,@HeidyFuentes-u9t,3,3 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,en mi abuelo,@RubyCedillopuente,0,3 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,bro y esa rima es lo megor q e escuchado :),@renatagarcia5369,1,4 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,ai! me recuerdo de esta rola!,@robertorobles6536,3,2 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,una colt 7 chinos!,@donarengaAgs,0,4 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,dr. a darle qué es mole de olla!,@EMMANUELRODRIGUEZESPINOZ-w8h1v,0,4 months ago (edited),es
https://www.youtube.com/watch?v=abG78S3HRyM,que detallazo,@MariSuazo-vd8mf,0,4 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,escribi este comentario para cada ves que le den like escuche este rolon,@MarcosJimenez-t4v,2,4 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,finales del 25 bien grifo recordando esta joyota.,@yovng.joeMobile,2,4 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,"igan sabian que si van al canal de natanael cano y escuchan su cancion ""pacas de billetes"" en el minuto 1:47 escuchan el numero ""701"", y en esta cancion en el minuto 0:55 se escucha tmb el numero ""701"", saben que significa?",@KyMxck,0,4 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,shaw la pura crema,@XavierSánchez-h5h,0,4 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,alguien del 2025,@yurilopezramos7073,0,4 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,y no mames desde el cielo me cuida mi viejo mi color favorito se que me cuida mi viejo juanito jr,@JuanAcosta-p7g2v,0,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,de por vida la escuchare,@NoemiEstrada-u3k5b,0,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,"me gusta esta versión que si dice el verso de los botones, aunque ojalá y méxico pudiera acabar con todo el tema del n/\rcø",@jorgeelarguendero2962,2,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,solo 1 opinión que temazo !! dan ganas de bebeeeeeeeeer noviem 15 de 2025 primo hoy falleciste que en paz descanses,@luisedgevillegas4376,3,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,vine acá por lo que paso para ver que decía,@auroramontotamolina2524,2,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,esta chingadera ni rima,@angelrodriguez5192,1,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,ok pero por esa canción dicen que lo meterán ala cárcel por 6 meses,@dulcetsr4864,26,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,los argentinos estan bien mariguanos si piensan que esta cancion es cultural digo. esta hablando de la vida de un narco no del pueblo de mexico,@winra919,3,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,en méxico es el pais donde es mas grabar cantar que delinquir viva el corrido velico . el corrido nnnacoo venezuela-mexico,@alfrednarvaezytriago6555,6,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,por dios quien le dijo que canta,@yanetortiz2248,0,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,jajjaa vine por eso tambien,@Acordes36,0,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,y que bueno!,@readingmichael888,0,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,"si tambien , pero arriba los corridos y a seguir apoyando al 100",@alfonsolopez1680,0,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,buena canción,@GabrielPerez-l8q,0,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,horrible canción que no deja nada de cultura,@mariaguadaluperosalesrivas8653,1,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,pura jente del gobierno,@Azaelloeza,0,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,el mejor corrido,@LuisGaspar-jt9gy,0,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,llevaba 1 min escuchandola y sentia como se me partian mis pies y mi piel de mi cara se ponia reseca y me empezaban a gruñir mis tripas... tipicas descripciones de un muerto de hambre que escucha esto,@josecruzromo4993,1,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,"me dan risa todos los que comentan que van a dejar la escuela para irse a la sierra, jajajaja piensan que el primer dia van a ser millonarios. una cosa es que te guste la musica y admires el arte que hacen, pero ya hacerse la chaqueta mental de hacerse el chapo es de pendejo y van a terminar muertos si siguen pensando esas estupideces.",@SugeiSandovalSsSs,1,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,puerco del diablo,@faridzv6hrgarcia974,0,6 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,si amor ya amor,@JovhanyHernandezdelgado,0,6 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,q grande el señor azul de trabajar pa felix a ser unos de los kapo de sinaloa y un traficante bajo perfil,@MaximilianoRomera-h6o,0,6 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,me trae un chingo de momentos chidos,@LEON_ZA-05,2,6 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,solo vine por la parte famosa,@Theshadow1_1456,1,6 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,en la sangre traigo el 701,@danielgonzalezvalenzuela6287,0,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,"a dios le pido perdón por los pecados pero asi es esto ,ponte hacer quehacer mija en vez que andes de envidiosa aqui criticando musica que no es de tu agrado",@danielgonzalezvalenzuela6287,0,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,"mejor ve a la escuela burrito, yo facturo, no necesito de un wey.",@SugeiSandovalSsSs,1,5 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,hoy se enteran a tiros los carteles en méxico por qué escuché esté corrido,@CarlosAguilera-qp8tm,0,6 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,el azul bélico,@BenjaminHernandez-nf8yd,1,6 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,si se podrán las dos pa mi o que,@DandhyBarajas-i8t,0,6 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,arriba el azul el mero mero patron del chapo y del mayo bajo perfil fierro pariente,@JafefRodriguez,0,6 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,musica basura de narcos,@geort45,1,6 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,hola eyyy como estas tu día mi bonita vida. gracias por,@Kerenvilla-s3m,0,7 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,se la cantan a un narcotráficante,@OtonielLópez-e2g,0,7 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,puro junior/h y peso pluma,@Gloriapaz-o7r,0,7 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,sabes? así dejalo? si el munrra,@BrendaNava-p1l,0,7 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,algo bien señores,@Strati4365,0,7 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,verano del 2023,@CalcoDiaz,6,7 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,yo soy cubano y nunca había escuchado esta música hasta que me case con una mexicana ahora cada vez que bebo me encanta escuchar los corridos tumbados,@Cristreyes18538,0,7 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,que viva mexico cabrones,@NormanEnrique-e2w,1,7 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,chalino sánchez y el az de la sierra se están revolcando con los corridos esos,@EduardoLoza-s5w,1,7 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,entonces peso pluma es devoto de elegguá?,@OmarEchNap,1,7 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,chida rola buena loquera la de los chinos inventar eso tan exótico y loco a la vez los. únicos que sabemos del tema sabemos la fokin vibra,@NarutoCaceres-l8p,1,7 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,gracias por todo mi los bendigo mis,@GerverGonzalez-v3w,0,7 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,alguien que me explique porque no se puede cantar este temon en méxico,@jhersonbernal1623,0,7 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,cómo se llama ese estilo de chamarra de junior h????,@emmanuelm1110,0,7 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,me recuerda a las buenas pedas que siempre tuve de fondo con esta canción,@DiegoAramis-e7q3b,1,7 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,me recuerda a qué claudia los prohibió,@mbappe-wf5er,0,8 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,estos playos jugando de malos!!! y al topon fijo se culean!!! ese peso pluma es un esqueleto con un pedo y se quiebra!!!,@Christopher-w7u1z,0,8 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,ell escucho 99999999999999999 beses al día me ise adicto,@AxelTareo,0,8 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,a mi abuela que ya se murió,@CristianOrtiz-o1w,0,8 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,y quien es el azul?,@jorgeleonardomolinalagos4610,0,8 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,no sabía que el azul era un capo de méxico y soy mexicano,@gordoforro6143,0,8 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,yo también e escuchado 100000000000000000000,@Alex_stlyle223,0,8 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,ase un año comente este video hoy vuelvo a comentar y ahora estoy mejor aqui escuchando esta rola con un una cahuama y morras saludos quien por esta fecha saludos chingones,@fanaticodelrap7253,0,8 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,cuernos del diablo uff junior h y peso pluma,@Alex_stlyle223,0,8 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,"esta mierda de música solo les llena de mierda la cabeza, pero está chida",@diegoblowns8227,0,8 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,pura basura de canciones,@JoelHernadez-m6x,0,8 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,gracias a dios por lo bueno y lo malo,@PepitoSalazar-w8i,1,8 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,lástima que en méxico ya no se pueden cantar corridos...,@guillermoreyes5341,0,8 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,hola vengo del futuro y antes me gustaba está canción y ahora se me hace mega naca y ahora me encanta el rock y el metal,@GabrielaIselaRamos,2,8 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,que pena que esta música hermosa tenga esas letras delincuenciales,@dbohm226,0,8 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,me encanta como canta este joven,@virginiacastellanos4826,1,9 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,"tranquilo ozzy osbourne, la buena música queda en buenas manos :3",@MiEstasEsperantisto,0,9 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,está es una buena canción y arriba junior ah chachaoooo!!!!,@DiegoArmandoRíosNevarez,0,9 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,"arriba los corridos, me vine de tanta satisfacción",@yermajp7332,0,9 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,2:22 uy ese no somos c****una rima perfecta,@LourdesSilvaSigler,0,9 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,que sigas la mata dando,@revelation3332,0,9 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,tumbada fluida lucida loka y bendecida,@revelation3332,0,9 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,infernalmentw sutil melancolica pistolera y pistera jajaja en la sangre traigo el 701 melena de leon pues vengo de uno jejeje amén y amén,@revelation3332,0,9 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,que cuídala musica,@GabrielurielMontejotorres,0,9 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,alguien sabe como aparece en redes sociales el requintista?,@jorgefc4317,0,9 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,al jien en el 2025,@SalvadorFarmadezMegia,0,9 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,el. chapo guzmán alv,@Cesar-m5p2j,0,10 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,"descanza en paz ""el azul"" un gran soldado que era un guerrero, siempre al frente.",@Luisfernandez12x3,7,10 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,porque en spotify quitaron la parte de los botones?,@DiegoLopez-er5wk,1,10 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,puro crridos de mexico,@23drxp,0,10 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,del del diablo,@Sofía-u5u6d,0,10 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,y uste que ase aquí?,@Luisfernandez12x3,0,8 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,"porque es una referencia a una sustancia que ha causado problemas en usa, los famosos bootones azules",@Tututrit,1,10 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,rrreeeeeeee3eeeee eeeeeeeeeeeeee en vivo hoy a ver el día del alumno de inglés en español que te ha dicho algo que te hhehejek,@LupitaPérezCruz-q4n,0,10 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,"dejame pregyntarte una cosa, emserio crees que solamnete es decir soy un 7 y ya esta, enserio crees que cualquier hombre sobre este planeta puede comvertirse en un leon en un dragon, en un lobo simplemente (blablabla) no cualquier hombre si, no cuquier (,blablabla), es mas, enserio crees que todas esas personas de euu, y del mundo que se jactan de decir soy un 7 y hago dinero con eso en mis peñiculas en mis caciones en mis seminarios, tan solo el actor que le da vida a dead, es principe falso, por que lo hace, no lo hace desinteresadamente, (), y ni que decir de toda esa pus en mundo como estos pernojes de aqui, que apoyan algo tan sangriento, aunque como sea seguro que si estan en un nivel, pero para otras personas (capospoliticospeña), simplente, ya se termino pero no para el grab (chin) o el gran (putin)yo diria para quien sea que lea esto, que no tomes como ejmplo a este par, por principio de cuntas para ser un leon no debes de consumir carne , no se si sepas cada cuanto cazan los leones, (), y ni se diga de convertise en un dragon, por que ahi si, necesitas escupir verdadero fuego por la boca ,",@LaloPonce-l7j,0,10 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,"lo bueno es que no hacen apología al narco, ya veo por qué los quieren chingar",@Gorebastardo,0,10 months ago,es
https://www.youtube.com/watch?v=abG78S3HRyM,quien en junio 2025,@FlexIntro003,3,10 months ago,es
